SK_ID_CURR,TARGET
202062,0.3983597638323925
202073,0.4691528114131539
202078,0.46210158921655753
202079,0.7875254323391564
202080,0.48698930674924606
202085,0.5382781700813771
202090,0.43553180379973033
202092,0.3361044651646593
202114,0.2930763794107004
202124,0.17965830425901763
202133,0.2067440027576149
202136,0.40098971823439805
202150,0.12310708191238409
202156,0.18349949846940694
202159,0.3507723145357473
202165,0.3010324744994759
202167,0.5515492245042013
202168,0.38193972433614015
202169,0.5863773080804756
202170,0.38168263930248997
202204,0.27313863163928676
202209,0.2544303900873007
202216,0.48307552200227266
202220,0.31421894853781823
202228,0.3330473033262525
202229,0.3033787186850796
202231,0.5276228983000214
202232,0.3154590204416654
202234,0.5012104610565989
202252,0.6441505138572828
202253,0.28258725387906714
202272,0.281751232631239
202273,0.34944619952404926
202292,0.28643582390273997
202300,0.2879603335195912
202302,0.22638978700949686
202311,0.1445583661110026
202316,0.19570721815392633
202318,0.43225075748152425
202324,0.5626795924077489
202343,0.38931041369700425
202344,0.39811642693687116
202349,0.29462865781746295
202351,0.4630048970636933
202355,0.14392699976388923
202379,0.5928985159914256
202407,0.13759379608362965
202409,0.3466330636272752
202410,0.28883812532419506
202422,0.4285456706402554
202423,0.5681196560502438
202435,0.32094950259304966
202437,0.8373450875318538
202438,0.6497969948987872
202439,0.44799255004277594
202441,0.37209164012912893
202444,0.19810546537257157
202446,0.46047334043527177
202450,0.39555217673266674
202455,0.5316874639926169
202457,0.33304047330769365
202461,0.6673597192565558
202463,0.8369876407511997
202473,0.16800069516323093
202478,0.458256913390844
202484,0.8499651530888646
202490,0.253108567322687
202491,0.4385410280535173
202492,0.5719143106562748
202497,0.5320415653218051
202508,0.6210847391298991
202509,0.5371460589575308
202510,0.13893725917611802
202511,0.7236526696347966
202514,0.3098984102463681
202524,0.2806999374250482
202527,0.4100090002439819
202547,0.37688649178957395
202554,0.33459903312788614
202557,0.6359248957983897
202568,0.3613631425217884
202573,0.3311081477696288
202587,0.3257542773033493
202599,0.4032882120032513
202610,0.3350297885431787
202613,0.4122538960696565
202618,0.5273994542911429
202621,0.14433129200396125
202645,0.37131283578273755
